time_step	nuc_on_nicd_sum	nuc_on_nicd_mean	nuc_on_area	cyt_on_nicd_sum	cyt_on_nicd_mean	cyt_on_area	all_on_nicd_sum	all_on_nicd_mean	all_on_area
0	546098	3.2250111391653054	136430	1468384	9.372643148153998	173514	2014482	6.499503136050383	309944
1	719227	4.878580307988939	133081	1367109	8.37008432918044	170834	2086336	6.864866821315171	303915
2	936217	7.10740818799726	129085	1365163	8.105374876001322	168157	2301380	7.7424455494176465	297242
3	1115391	9.218649517684888	124996	1358565	7.763119119287684	167821	2473956	8.448812739697491	292817
4	1216348	10.813021458473608	119201	1343066	7.556490584902516	166655	2559414	8.953508060002239	285856
5	1291341	12.139069180842228	115199	1312213	7.31306757443982	165431	2603554	9.27753269429498	280630
6	1304229	12.899215904989994	110554	1302109	7.136542130606394	166630	2606338	9.402916474255369	277184
7	1257895	13.282590082054941	104258	1235231	6.819776198611097	163792	2493126	9.300973698936765	268050
8	1184081	13.413532338308459	98194	1205592	6.541430588053294	166577	2389673	9.02543329896401	264771
9	1118399	13.174452986398581	95077	1167525	6.274404959068755	167780	2285924	8.69645472633409	262857
10	1052309	12.868230720549679	91888	1121373	6.031233362910381	167912	2173682	8.366751347190146	259800
