time_step	nuc_nicd_sum	nuc_nicd_mean	nuc_area	cyt_nicd_sum	cyt_nicd_mean	cyt_area	all_nicd_sum	all_nicd_mean	all_area
0	1106248	10.306378046956782	89913	2451381	20.421159111446798	124020	3557629	16.629641055844587	213933
1	1550358	15.868211165970376	86760	2817843	23.370778327832785	121159	4368201	21.00914779313098	207919
2	2084590	24.208658915018507	84625	3021770	25.82699762772667	114829	5106360	25.601692620854934	199454
3	2420145	31.02729052171949	80734	3060239	26.11475362776478	112833	5480384	28.31259460548544	193567
4	2609034	35.724834260458735	76882	2944810	25.693133234447256	108905	5553844	29.893609348339766	185787
5	2714267	37.78237109186215	75847	2850279	24.420703064019413	109006	5564546	30.102546347638395	184853
6	2734133	38.419264304157466	75120	2819045	23.32914254580127	111696	5553178	29.72538754710517	186816
7	2705609	38.559043178285755	74350	2734754	22.220773996298977	112526	5440363	29.11215458378818	186876
8	2581954	37.623588990258234	72852	2611770	20.99260577303282	113433	5193724	27.88052714926054	186285
9	2453889	36.72564461323206	70902	2516287	19.883047707271885	114722	4970176	26.775503167693834	185624
10	2304819	35.24725094370589	69506	2337611	18.62461201387621	113004	4642430	25.436578817599035	182510
11	2185768	33.986787292236485	68030	2214204	17.876899555836726	111434	4399972	24.517295947933846	179464
12	2022321	32.39878761636718	66302	2083293	17.080052389268136	110306	4105614	23.247044301503895	176608
13	1881714	31.134550740437902	64446	1980641	16.255764671602453	109773	3862355	22.16953948765634	174219
14	1731181	29.619927084332726	61915	1879620	15.702092128466841	108129	3610801	21.23450989155748	170044
15	1611451	28.068864611783066	60791	1779579	15.127498787650197	106993	3391030	20.210687550660374	167784
16	1466446	26.486264587421253	58514	1679050	14.577797131426394	105356	3145496	19.195069262220052	163870
17	1349175	25.190954231433505	56508	1608528	14.160870455010574	104411	2957703	18.380073204531474	160919
18	1196429	23.458392518939394	53366	1499988	13.68951178191899	101313	2696417	17.43234052457024	154679
19	1107780	22.157537626449543	52300	1457420	13.26383512199154	102248	2565200	16.598079561042525	154548
20	1004033	20.62648102282616	50462	1430358	12.916323675786188	103742	2434391	15.786821353531685	154204
21	937240	19.462651107539656	50328	1438147	12.75505346132834	106721	2375387	15.12513292029876	157049
22	923635	18.25035142914519	51921	1446570	12.571074870836123	109770	2370205	14.65885547123835	161691
23	917613	17.067843866171003	54741	1450240	12.458043826830572	112104	2367853	14.19193263208367	166845
24	926662	16.15822030531752	58378	1436205	12.109085108471582	114501	2362867	13.667750276204744	172879
25	900525	15.297633264574964	59731	1385594	11.747288072483554	113910	2286119	13.165778819518431	173641
26	857027	14.522848664688427	60074	1351796	11.247022255679266	115994	2208823	12.54528364041166	176068
27	800217	13.4280407556782	60208	1285332	10.713310662810258	116111	2085549	11.828271485205791	176319
28	761076	12.700664238268695	60451	1255633	10.395251196172248	117419	2016709	11.338106482262326	177870
29	715302	11.8510099678287	60123	1207151	10.171688823835387	115912	1922453	10.920856647825717	176035
30	692872	11.324589159946923	61298	1177959	9.8883742695672	116696	1870831	10.510640808117127	177994
31	655482	10.683956816469998	61352	1129687	9.539099086150935	116467	1785169	10.039247774422305	177819
32	649266	10.172495296898365	63695	1125753	9.245689404258787	119861	1775019	9.670176948724095	183556
33	636452	9.820846291584205	64723	1118145	9.155647096833748	120865	1754597	9.454258896049314	185588
34	614910	9.280467988300293	65481	1085538	8.984095520160444	119982	1700448	9.168664369712557	185463
35	557294	8.895335104812519	62280	1033081	8.819565556368522	116753	1590375	8.883138862667776	179033
36	506586	8.37743073047859	59724	968568	8.56582398502629	113118	1475154	8.53469642795154	172842
37	494041	8.157159085296588	59517	926786	8.41016837490973	109840	1420827	8.389538076371215	169357
38	473052	7.770921820303384	59525	867282	8.29833763825419	105011	1340334	8.146144308844265	164536
39	453563	7.428270814272644	59354	858899	8.147565406027026	105965	1312462	7.938966482981387	165319
